Product Name,Type For,Image Name,Image Name,ActualName,BrandName,ProductDetails,Ingredients,ProductLink
2 Girls With Curls Lavender and Grapefruit Shampoo (8 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/m/419/2-girls-with-curls-shampoo__96844.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/m/419/2-girls-with-curls-shampoo__96844.jpg,Lavender and Grapefruit Shampoo (8 oz.),2 Girls With Curls,"<p>2 Girls With Curls Lavender and Grapefruit Shampoo is made with plant-based ingredients, including Avocado Oil, Olive Oil and Aloe Vera, to help produce healthier and hydrated hair. Ideal for Curly or Dry Damaged hair.</p>",,/2-girls-with-curls-lavender-and-grapefruit-shampoo-8-oz/
2 Girls With Curls Lavender and Grapefruit Conditioner (8 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/s/201/2-girls-with-curls-conditioner__16264.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/s/201/2-girls-with-curls-conditioner__16264.jpg,Lavender and Grapefruit Conditioner (8 oz.),2 Girls With Curls,"<p>2 Girls With Curls Lavender and Grapefruit Conditioner is made with plant-based ingredients, including Avocado Oil, Olive Oil and Aloe Vera, to help produce healthier and hydrated hair. Ideal for Curly or Dry Damaged hair.</p>",,/2-girls-with-curls-lavender-and-grapefruit-conditioner-8-oz/
2 Girls With Curls Lavender and Grapefruit Hair Lotion (8 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/k/012/2-girls-with-curls-hair-lotion-1__22294.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/k/012/2-girls-with-curls-hair-lotion-1__22294.jpg,Lavender and Grapefruit Hair Lotion (8 oz.),2 Girls With Curls,"<p>2 Girls With Curls Lavender and Grapefruit Hair Lotion is made with natural ingredients, including Avocado Oil, Olive Oil and Aloe Vera, to help produce healthier and hydrated hair. Use on wet or dry hair to add a little moisture to your locks. This lightweight moisturizer will not weigh your hair down or leave it feeling greasy. Ideal styling product for finer curls.</p>",,/2-girls-with-curls-lavender-and-grapefruit-hair-lotion-8-oz/
2 Girls With Curls Lavender and Grapefruit Styling Cream (8 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/u/410/2-girls-with-curls-styling-cream__69323.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/u/410/2-girls-with-curls-styling-cream__69323.jpg,Lavender and Grapefruit Styling Cream (8 oz.),2 Girls With Curls,"<p>2 Girls With Curls Lavender and Grapefruit Styling Cream is made with natural ingredients, including Avocado Oil, Olive Oil and Aloe Vera, to help produce healthier and hydrated hair. Ideal styling product for coarser and natural hair types. Works best when applied to damp hair, then style as usual. Works great as a twisting butter or to seal the ends of finer hair types.</p>",,/2-girls-with-curls-lavender-and-grapefruit-styling-cream-8-oz/
2 Girls With Curls Lavender and Grapefruit Leave-In Spray Conditioner (4 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/p/247/2-girls-with-curls-leave-in-spray-conditioner__17628.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/p/247/2-girls-with-curls-leave-in-spray-conditioner__17628.jpg,Lavender and Grapefruit Leave-In Spray Conditioner (4 oz.),2 Girls With Curls,<p>This lightweight leave-in conditioner is a great way to refresh your curls in between washes. Scented with Lavender and Grapefruit essential oils.</p>,,/2-girls-with-curls-lavender-and-grapefruit-leave-in-spray-conditioner-4-oz/
2 Girls With Curls Lavender and Grapefruit Travel Set (4 pc.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/y/362/2-girls-with-curls-travel-set__42411.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/y/362/2-girls-with-curls-travel-set__42411.jpg,Lavender and Grapefruit Travel Set (4 pc.),2 Girls With Curls,"<p>A great way to try 2 Girls With Curls most popular products without committing to the full sizes. Also, these sizes work great for traveling since they are within the TSA limits when traveling with liquids. Comes with travel pouch.</p> <p><span style=""text-decoration: underline;""><strong>Kit includes:</strong></span></p> <ul> <li> <p>4 - 1 oz bottles of&nbsp;Shampoo, Conditioner, Hair Lotion &amp; Styling Cream</p> </li> </ul>",,/2-girls-with-curls-lavender-and-grapefruit-travel-set-4-pc/
African Pride Argan Miracle Moisture & Shine Conditioning Shampoo (12 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/n/674/african-pride-argan-conditioning-shampoo__99038.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/n/674/african-pride-argan-conditioning-shampoo__99038.jpg,Argan Miracle Moisture & Shine Conditioning Shampoo (12 oz.),African Pride,"<p><strong>Harness the hydrating power of Moroccan argan oil.</strong></p> <p>Clean, detangle and hydrate with our Moisture &amp; Shine Conditioning Shampoo. The shampoo is enriched with pure Moroccan argan oil to gently cleanse, restore and fortify your hair against breakage and split ends.</p>",,/african-pride-argan-miracle-moisture-shine-conditioning-shampoo-12-oz/
African Pride Argan Miracle Moisture & Shine Curly Smoothie (12 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/n/930/african-pride-argan-curly-smoothie__31005.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/n/930/african-pride-argan-curly-smoothie__31005.jpg,Argan Miracle Moisture & Shine Curly Smoothie (12 oz.),African Pride,"<p><strong>Replenish, stretch, style and enhance your coils</strong></p> <p><span>Stretch, style and enhance curls and coils, with our Curly Smoothie. Replenish vital moisture and leave your curls beautifully defined with a touchably soft and manageable texture.</span></p>",,/african-pride-argan-miracle-moisture-shine-curly-smoothie-12-oz/
African Pride Argan Miracle Moisture & Shine Deep Conditioning Masque (15 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/v/639/african-pride-argan-deep-conditioning-masque__05747.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/v/639/african-pride-argan-deep-conditioning-masque__05747.jpg,Argan Miracle Moisture & Shine Deep Conditioning Masque (15 oz.),African Pride,"<p><strong>Pure Moroccan argan oil deeply conditions.</strong></p> <p><span>Condition, strengthen and restore your hair with the power of pure Moroccan argan oil. Our masque deeply conditions and locks in vital moisture to strengthen hair and protect it from vital damage.</span></p>",,/african-pride-argan-miracle-moisture-shine-deep-conditioning-masque-15-oz/
African Pride Argan Miracle Moisture & Shine Edges (2.25 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/f/321/african-pride-argan-edges__25731.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/f/321/african-pride-argan-edges__25731.jpg,Argan Miracle Moisture & Shine Edges (2.25 oz.),African Pride,"<p><strong>Argan oil Pride for every style and texture</strong></p> <p><span>Smooth, strengthen and shine with the power of pure Moroccan argan oil. Moisture &amp; Shine Edges gives your edges a smooth finish, strengthens them and provides a healthy, radiant shine without build-up.</span></p>",,/african-pride-argan-miracle-moisture-shine-edges-2-25-oz/
